URL,Size,# of outlinks,Content-type
https://www.foxnews.com/science/self-taught-rocket-maker-shoots-himself-1875-feet-to-prove-earth-is-flat,69901,166,TEXT/HTML
https://www.foxnews.com/category/science/natural-science,64420,176,TEXT/HTML
https://www.foxnews.com/category/us/us-regions/west/utah,63482,177,TEXT/HTML
https://www.foxnews.com/shows/fox-friends-first,103762,219,TEXT/HTML
https://www.foxnews.com/media/trump-bill-clinton-impeachment-judge-napolitano,78755,176,TEXT/HTML
https://www.foxnews.com/opinion/what-do-you-say-to-someone-who-is-grieving-advice-greg-laurie,83848,172,TEXT/HTML
https://www.foxnews.com/category/entertainment/celebrity-news/meghan-markle,63595,175,TEXT/HTML
https://www.foxnews.com/person/m/george-tyrus-murdoch,59857,166,TEXT/HTML
https://www.foxnews.com/shows/fox-files,70348,174,TEXT/HTML
https://www.foxnews.com/category/tech,63234,177,TEXT/HTML
https://www.foxnews.com/real-estate/5-most-expensive-us-cities-to-live-in,67552,172,TEXT/HTML
https://www.foxnews.com/category/world/world-regions/china,66067,177,TEXT/HTML
https://www.foxnews.com/category/shows/the-story/transcript,60588,177,TEXT/HTML
https://www.foxnews.com/media/martha-maccallum-unknown-valor-iwo-jima,73165,174,TEXT/HTML
https://www.foxnews.com/category/entertainment,62042,176,TEXT/HTML
https://www.foxnews.com/media/nancy-grace-idaho-mother-missing-kids-lying-to-court-police,87473,184,TEXT/HTML
https://www.foxnews.com/entertainment/drew-carey-late-ex-amie-harwick-radio,75620,185,TEXT/HTML
https://www.foxnews.com/media/democratic-debate-trump-rally-stuart-varney,73766,175,TEXT/HTML
https://www.foxnews.com/shows/media-buzz,119831,231,TEXT/HTML
https://www.foxnews.com/media/african-american-conservatives-rob-smith-david-webb,75739,175,TEXT/HTML
https://www.foxnews.com/tech/marriott-database-hack-exposes-details-of-500m-guests,63223,170,TEXT/HTML
https://www.foxnews.com/us/wwii-veteran-phoenix-trump-rally-usa-cheers,64410,169,TEXT/HTML
https://www.foxnews.com/category/tech/topics/cybercrime,63415,177,TEXT/HTML
https://www.foxnews.com/media/candace-owens-democrats-bernie-sanders-chaos.amp,69832,136,TEXT/HTML
https://www.foxnews.com/shows/fox-news-sunday,113622,226,TEXT/HTML
https://www.foxnews.com/media/zaino-trump-impeachment-2020-win,72233,174,TEXT/HTML
https://www.foxnews.com/entertainment/elizabeth-hurley-54-stuns-blue-bikini-instagram-video,71635,180,TEXT/HTML
https://www.foxnews.com/category/good-news,62368,177,TEXT/HTML
https://www.foxnews.com/entertainment/clint-eastwood-support-mike-bloomberg-trump,80175,187,TEXT/HTML
https://www.foxnews.com/person/h/abby-hornacek,61488,167,TEXT/HTML
https://www.foxnews.com/shows/outnumbered-overtime,82594,180,TEXT/HTML
https://www.foxnews.com/person/b/bradford-betz,55382,168,TEXT/HTML
https://www.foxnews.com/us/florida-police-tongues-jars-crawl-space,68802,169,TEXT/HTML
https://www.foxnews.com/world/china-xi-jinping-hong-kong-protest-divide-crushed-bodies-shattered-bones,81533,176,TEXT/HTML
